,idx,AirQualityStation,img_path,s5p_path,Countrycode,Altitude,PopulationDensity,rural,suburban,urban,background,industrial,traffic,no2
706,706,STA-NL00617,STA-NL00617/S2B_MSIL2A_20200326T104639_N0214_R051_T31UFU_20200326T141923.npy,STA-NL00617/l3_mean_europe_2018_2020_005dg.netcdf,NL,1.0,288.6,1,0,0,1,0,0,13.38798336689308
707,707,STA-NL00741,STA-NL00741/S2B_MSIL2A_20200922T104649_N0214_R051_T31UFT_20200927T135033.npy,STA-NL00741/l3_mean_europe_2018_2020_005dg.netcdf,NL,30.0,810.6,0,0,1,0,0,1,31.49184806215356
708,708,STA-FR23107,STA-FR23107/S2B_MSIL2A_20200806T105619_N0214_R094_T30TXT_20200806T131026.npy,STA-FR23107/l3_mean_europe_2018_2020_005dg.netcdf,FR,20.0,207.5,0,0,1,1,0,0,14.182882672923922
709,709,STA.DE_DEBY053,STA.DE_DEBY053/S2A_MSIL2A_20200322T102021_N0214_R065_T32UPV_20200322T120506.npy,STA.DE_DEBY053/l3_mean_europe_2018_2020_005dg.netcdf,DE,307.0,2793.4,0,0,1,0,0,1,34.56951456617987
710,710,STA-RO0108A,STA-RO0108A/S2B_MSIL2A_20200918T093039_N0214_R136_T34TET_20200918T120935.npy,STA-RO0108A/l3_mean_europe_2018_2020_005dg.netcdf,RO,145.0,75.0,0,0,1,0,1,0,33.63235236454645
711,711,STA.DE_DEBW125,STA.DE_DEBW125/S2A_MSIL2A_20200921T103031_N0214_R108_T32UMV_20200921T151006.npy,STA.DE_DEBW125/l3_mean_europe_2018_2020_005dg.netcdf,DE,135.0,415.6,0,1,0,0,0,1,35.00588509121432
712,712,STA.DE_DERP046,STA.DE_DERP046/S2B_MSIL2A_20200807T102559_N0214_R108_T32ULA_20200807T132026.npy,STA.DE_DERP046/l3_mean_europe_2018_2020_005dg.netcdf,DE,61.0,293.7,0,0,1,0,0,1,26.742482116457484
713,713,STA-MK0036A,STA-MK0036A/S2A_MSIL2A_20201122T093321_N0214_R136_T34TEM_20201122T122223.npy,STA-MK0036A/l3_mean_europe_2018_2020_005dg.netcdf,MK,337.0,76.3,0,0,1,1,0,0,19.99675506390236
714,714,STA.IT1048A,STA.IT1048A/S2A_MSIL2A_20200627T101031_N0214_R022_T32TQQ_20200627T120035.npy,STA.IT1048A/l3_mean_europe_2018_2020_005dg.netcdf,IT,29.0,166.0,0,0,1,1,0,0,27.63061341486719
715,715,STA.DE_DENW071,STA.DE_DENW071/S2A_MSIL2A_20200805T104031_N0214_R008_T32ULB_20200805T121101.npy,STA.DE_DENW071/l3_mean_europe_2018_2020_005dg.netcdf,DE,38.0,3001.4,0,0,1,1,0,0,29.45432644329789
716,716,Station_GB0962A,Station_GB0962A/S2B_MSIL2A_20200921T112119_N0214_R037_T30UVC_20200921T132441.npy,Station_GB0962A/l3_mean_europe_2018_2020_005dg.netcdf,GB,24.0,234.8,0,0,1,1,0,0,18.55834058396838
717,717,STA-FR04118,STA-FR04118/S2A_MSIL2A_20200520T105031_N0214_R051_T31UDQ_20200520T134332.npy,STA-FR04118/l3_mean_europe_2018_2020_005dg.netcdf,FR,45.0,21043.6,0,0,1,0,0,1,65.16246274499582
718,718,STA.IT2265A,STA.IT2265A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT2265A/l3_mean_europe_2018_2020_005dg.netcdf,IT,22.0,823.7,0,0,1,0,0,1,24.662250850753523
719,719,STA-FR20047,STA-FR20047/S2A_MSIL2A_20200414T103021_N0214_R108_T31TFL_20200414T132613.npy,STA-FR20047/l3_mean_europe_2018_2020_005dg.netcdf,FR,180.0,115.6,0,1,0,1,0,0,9.61220929884044
720,720,STA.IT1897A,STA.IT1897A/S2A_MSIL2A_20200830T095031_N0214_R079_T33TWF_20200830T115423.npy,STA.IT1897A/l3_mean_europe_2018_2020_005dg.netcdf,IT,319.0,55.9,0,0,1,0,1,0,8.817212577597012
721,721,STA.DE_DEHE134,STA.DE_DEHE134/S2B_MSIL2A_20200409T102559_N0214_R108_T32UNB_20200409T140105.npy,STA.DE_DEHE134/l3_mean_europe_2018_2020_005dg.netcdf,DE,271.0,161.0,0,0,1,1,0,0,21.42685984228048
722,722,STA.IT2005A,STA.IT2005A/S2A_MSIL2A_20200826T101031_N0214_R022_T32TNL_20200826T130121.npy,STA.IT2005A/l3_mean_europe_2018_2020_005dg.netcdf,IT,17.0,47.7,0,1,0,1,0,0,13.36260914219076
723,723,HR_DOC_TYPE_D_STA_RH0108,HR_DOC_TYPE_D_STA_RH0108/S2A_MSIL2A_20200912T100031_N0214_R122_T33TVL_20200912T114911.npy,HR_DOC_TYPE_D_STA_RH0108/l3_mean_europe_2018_2020_005dg.netcdf,HR,0.0,79.8,0,0,1,1,0,0,11.763958324993222
724,724,STA_ES1354A,STA_ES1354A/S2B_MSIL2A_20200720T110619_N0214_R137_T30TUM_20200720T131521.npy,STA_ES1354A/l3_mean_europe_2018_2020_005dg.netcdf,ES,706.0,64.3,0,1,0,0,1,0,13.288789134438304
725,725,STA.IT2249A,STA.IT2249A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT2249A/l3_mean_europe_2018_2020_005dg.netcdf,IT,16.0,823.7,1,0,0,1,0,0,4.638480194017785
726,726,STA-PT04003,STA-PT04003/S2B_MSIL2A_20200822T112119_N0214_R037_T29SNC_20200823T151025.npy,STA-PT04003/l3_mean_europe_2018_2020_005dg.netcdf,PT,235.0,18.1,1,0,0,0,1,0,4.691948590859316
727,727,STA-LT00041,STA-LT00041/S2A_MSIL2A_20200807T094041_N0214_R036_T35ULA_20200807T110442.npy,STA-LT00041/l3_mean_europe_2018_2020_005dg.netcdf,LT,31.0,71.8,0,0,1,0,0,1,21.45062151884456
728,728,STA-PT02016,STA-PT02016/S2A_MSIL2A_20200718T112121_N0214_R037_T29TNE_20200718T123331.npy,STA-PT02016/l3_mean_europe_2018_2020_005dg.netcdf,PT,145.0,101.4,0,0,1,1,0,0,14.478601567209164
729,729,STA_ES0890A,STA_ES0890A/S2B_MSIL2A_20201227T111359_N0214_R137_T30STG_20201227T131730.npy,STA_ES0890A/l3_mean_europe_2018_2020_005dg.netcdf,ES,17.0,140.3,0,0,1,0,0,1,35.29516630772912
730,730,STA-NL00553,STA-NL00553/S2B_MSIL2A_20200326T104639_N0214_R051_T31UFU_20200326T141923.npy,STA-NL00553/l3_mean_europe_2018_2020_005dg.netcdf,NL,7.0,1212.2,0,0,1,0,1,0,20.835881467431108
731,731,STA.08.2801,STA.08.2801/S2B_MSIL2A_20190830T102029_N0213_R065_T32TNT_20190830T135146.npy,STA.08.2801/l3_mean_europe_2018_2020_005dg.netcdf,AT,940.0,49.4,1,0,0,0,0,1,25.056301676249102
732,732,STA-TR411122,STA-TR411122/S2B_MSIL2A_20200807T084559_N0214_R107_T36TTL_20200807T111514.npy,STA-TR411122/l3_mean_europe_2018_2020_005dg.netcdf,TR,25.0,530.0,0,0,1,0,1,0,29.75084274466797
733,733,STA.DE_DEHE052,STA.DE_DEHE052/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE052/l3_mean_europe_2018_2020_005dg.netcdf,DE,811.0,490.2,1,0,0,1,0,0,6.714829496152849
734,734,STA.DE_DENW208,STA.DE_DENW208/S2B_MSIL2A_20200807T102559_N0214_R108_T31UGT_20200807T132026.npy,STA.DE_DENW208/l3_mean_europe_2018_2020_005dg.netcdf,DE,36.0,2480.8,0,0,1,0,0,1,46.05544192676506
735,735,STA-HU0022A,STA-HU0022A/S2A_MSIL2A_20200711T095031_N0214_R079_T34TCT_20200711T112238.npy,STA-HU0022A/l3_mean_europe_2018_2020_005dg.netcdf,HU,153.0,3433.4,0,1,0,1,0,0,24.092973617417268
736,736,STA_PL0091A,STA_PL0091A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UFB_20200822T115325.npy,STA_PL0091A/l3_mean_europe_2018_2020_005dg.netcdf,PL,226.0,66.7,0,0,1,1,0,0,18.1216616138907
737,737,STA-RO0213A,STA-RO0213A/S2A_MSIL2A_20200825T085601_N0214_R007_T35TNK_20200825T115135.npy,STA-RO0213A/l3_mean_europe_2018_2020_005dg.netcdf,RO,11.0,58.4,1,0,0,1,0,0,8.623644842931247
738,738,STA_PL0248A,STA_PL0248A/S2A_MSIL2A_20200806T101031_N0214_R022_T33UVV_20200806T115620.npy,STA_PL0248A/l3_mean_europe_2018_2020_005dg.netcdf,PL,10.0,1721.9,0,0,1,1,0,0,16.924128235509553
739,739,STA-FR34057,STA-FR34057/S2B_MSIL2A_20200724T104619_N0214_R051_T31TDN_20200724T142034.npy,STA-FR34057/l3_mean_europe_2018_2020_005dg.netcdf,FR,147.0,32.2,0,0,1,0,0,1,14.282691861070523
740,740,STA.DE_DENI051,STA.DE_DENI051/S2A_MSIL2A_20200421T102021_N0214_R065_T32UPC_20200421T120142.npy,STA.DE_DENI051/l3_mean_europe_2018_2020_005dg.netcdf,DE,939.0,143.2,1,0,0,1,0,0,6.000949450534946
741,741,STA-BETE714,STA-BETE714/S2A_MSIL2A_20200530T105031_N0214_R051_T31UES_20200530T134211.npy,STA-BETE714/l3_mean_europe_2018_2020_005dg.netcdf,BE,11.0,432.9,1,0,0,0,1,0,16.478379338940886
742,742,STA.IT2096A,STA.IT2096A/S2A_MSIL2A_20201117T102321_N0214_R065_T32TPS_20201117T130408.npy,STA.IT2096A/l3_mean_europe_2018_2020_005dg.netcdf,IT,260.0,71.8,0,0,1,1,0,0,29.733903610768674
743,743,STA-BELLD02,STA-BELLD02/S2B_MSIL2A_20200326T104639_N0214_R051_T31UFS_20200326T141923.npy,STA-BELLD02/l3_mean_europe_2018_2020_005dg.netcdf,BE,22.0,342.7,1,0,0,0,1,0,18.996276155573945
744,744,STA-LV0RKE2,STA-LV0RKE2/S2A_MSIL2A_20200817T094041_N0214_R036_T34VFJ_20200817T110529.npy,STA-LV0RKE2/l3_mean_europe_2018_2020_005dg.netcdf,LV,7.0,2462.4,0,0,1,1,0,0,24.637421503887463
745,745,STA.DE_DEST095,STA.DE_DEST095/S2A_MSIL2A_20200421T102021_N0214_R065_T32UPC_20200421T120142.npy,STA.DE_DEST095/l3_mean_europe_2018_2020_005dg.netcdf,DE,118.0,136.2,0,0,1,0,0,1,29.214665989121805
746,746,STA-FR04031,STA-FR04031/S2A_MSIL2A_20200520T105031_N0214_R051_T31UDQ_20200520T134332.npy,STA-FR04031/l3_mean_europe_2018_2020_005dg.netcdf,FR,34.0,21043.6,0,0,1,0,0,1,45.408384908307845
747,747,STA.IT1681A,STA.IT1681A/S2B_MSIL2A_20201119T101319_N0214_R022_T32TQP_20201119T120649.npy,STA.IT1681A/l3_mean_europe_2018_2020_005dg.netcdf,IT,650.0,106.7,1,0,0,1,0,0,1.5581899145504874
748,748,STA-FR23153,STA-FR23153/S2B_MSIL2A_20200730T110619_N0214_R137_T30TWT_20200730T131922.npy,STA-FR23153/l3_mean_europe_2018_2020_005dg.netcdf,FR,4.0,207.5,0,1,0,0,1,0,7.588321666908341
749,749,STA.DE_DEHH070,STA.DE_DEHH070/S2A_MSIL2A_20200921T103031_N0214_R108_T32UNE_20200921T151006.npy,STA.DE_DEHH070/l3_mean_europe_2018_2020_005dg.netcdf,DE,25.0,2585.7,0,0,1,0,0,1,46.19339313274643
750,750,STA-FR30034,STA-FR30034/S2A_MSIL2A_20200407T104021_N0214_R008_T31UGQ_20200407T113125.npy,STA-FR30034/l3_mean_europe_2018_2020_005dg.netcdf,FR,200.0,139.6,0,0,1,1,0,0,24.08383233173653
751,751,STA.IT2104A,STA.IT2104A/S2B_MSIL2A_20190221T102039_N0211_R065_T32TMR_20190221T162447.npy,STA.IT2104A/l3_mean_europe_2018_2020_005dg.netcdf,IT,666.0,194.6,0,1,0,1,0,0,10.299912816041848
752,752,STA.IT1650A,STA.IT1650A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT1650A/l3_mean_europe_2018_2020_005dg.netcdf,IT,212.0,820.9,0,0,1,1,0,0,32.18734730498686
753,753,STA-EE0016A,STA-EE0016A/S2A_MSIL2A_20200625T093041_N0214_R136_T35VMF_20200625T121318.npy,STA-EE0016A/l3_mean_europe_2018_2020_005dg.netcdf,EE,50.0,20.4,1,0,0,1,0,0,1.7651256880869637
754,754,STA.DE_DEBW046,STA.DE_DEBW046/S2A_MSIL2A_20200908T102031_N0214_R065_T32UNU_20200908T130954.npy,STA.DE_DEBW046/l3_mean_europe_2018_2020_005dg.netcdf,DE,534.0,141.5,0,1,0,1,0,0,17.03991836381341
755,755,STA_PL0641A,STA_PL0641A/S2B_MSIL2A_20200822T094039_N0214_R036_T34UDA_20200822T115325.npy,STA_PL0641A/l3_mean_europe_2018_2020_005dg.netcdf,PL,209.0,2393.9,0,0,1,0,0,1,41.11882337208484
756,756,STA_ES1123A,STA_ES1123A/S2A_MSIL2A_20200118T104351_N0213_R008_T31TCF_20200118T120816.npy,STA_ES1123A/l3_mean_europe_2018_2020_005dg.netcdf,ES,56.0,127.8,0,1,0,0,1,0,16.412270508947245
757,757,STA.IT0952A,STA.IT0952A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT0952A/l3_mean_europe_2018_2020_005dg.netcdf,IT,61.0,823.7,1,0,0,1,0,0,11.247647216993816
758,758,STA.IT0895A,STA.IT0895A/S2A_MSIL2A_20200627T101031_N0214_R022_T32TQQ_20200627T120035.npy,STA.IT0895A/l3_mean_europe_2018_2020_005dg.netcdf,IT,4.0,218.2,0,0,1,0,0,1,32.493220566518985
759,759,STA_NO0102A,STA_NO0102A/S2B_MSIL2A_20200627T105619_N0214_R094_T32VNR_20200627T134914.npy,STA_NO0102A/l3_mean_europe_2018_2020_005dg.netcdf,NO,153.0,11.8,0,1,0,0,0,1,25.9712768811178
760,760,STA-FI00549,STA-FI00549/S2B_MSIL2A_20200626T095029_N0214_R079_T35VLJ_20200626T123234.npy,STA-FI00549/l3_mean_europe_2018_2020_005dg.netcdf,FI,120.0,40.8,0,0,1,0,0,1,14.872190363595186
761,761,STA.IT2013A,STA.IT2013A/S2A_MSIL2A_20201221T100431_N0214_R122_T33TUG_20201221T115632.npy,STA.IT2013A/l3_mean_europe_2018_2020_005dg.netcdf,IT,255.0,151.1,0,0,1,1,0,0,28.260619414861058
762,762,STA.IT0840A,STA.IT0840A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT0840A/l3_mean_europe_2018_2020_005dg.netcdf,IT,70.0,205.7,0,1,0,0,0,1,29.356261546852288
763,763,STA_ES2061A,STA_ES2061A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,STA_ES2061A/l3_mean_europe_2018_2020_005dg.netcdf,ES,15.0,210.8,0,0,1,0,0,1,22.185541033089603
764,764,STA.DE_DERP024,STA.DE_DERP024/S2B_MSIL2A_20200807T102559_N0214_R108_T32ULA_20200807T132026.npy,STA.DE_DERP024/l3_mean_europe_2018_2020_005dg.netcdf,DE,68.0,1139.3,0,0,1,0,0,1,34.33877447341291
765,765,STA.DE_DEBY099,STA.DE_DEBY099/S2B_MSIL2A_20200913T101629_N0214_R065_T32UPU_20200913T131152.npy,STA.DE_DEBY099/l3_mean_europe_2018_2020_005dg.netcdf,DE,495.0,2000.0,0,1,0,1,0,0,17.291182753823836
766,766,STA.IT2098A,STA.IT2098A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT2098A/l3_mean_europe_2018_2020_005dg.netcdf,IT,181.0,2160.4,0,1,0,1,0,0,45.534985516656654
767,767,STA-TR770141,STA-TR770141/S2A_MSIL2A_20200822T084601_N0214_R107_T35TPF_20200822T113326.npy,STA-TR770141/l3_mean_europe_2018_2020_005dg.netcdf,TR,5.0,320.1,0,0,1,1,0,0,35.201822587983365
768,768,STA.IT2145A,STA.IT2145A/S2B_MSIL2A_20200802T094039_N0214_R036_T33TXF_20200802T123333.npy,STA.IT2145A/l3_mean_europe_2018_2020_005dg.netcdf,IT,55.0,324.9,0,0,1,0,1,0,19.684104056669096
769,769,STA-FR23070,STA-FR23070/S2B_MSIL2A_20200806T105619_N0214_R094_T30TWT_20200806T131026.npy,STA-FR23070/l3_mean_europe_2018_2020_005dg.netcdf,FR,62.0,207.5,0,1,0,0,1,0,5.736123193184109
770,770,STA.02.WO35,STA.02.WO35/S2A_MSIL2A_20200415T100031_N0214_R122_T33TVM_20200415T131548.npy,STA.02.WO35/l3_mean_europe_2018_2020_005dg.netcdf,AT,540.0,44.7,1,0,0,1,0,0,8.715123636691978
771,771,STA.DE_DEBY035,STA.DE_DEBY035/S2A_MSIL2A_20200730T102031_N0214_R065_T32TNT_20200730T120016.npy,STA.DE_DEBY035/l3_mean_europe_2018_2020_005dg.netcdf,DE,411.0,286.6,0,0,1,0,0,1,21.68537780705573
772,772,Station_GB1036A,Station_GB1036A/S2A_MSIL2A_20200415T114351_N0214_R123_T29UPA_20200415T142447.npy,Station_GB1036A/l3_mean_europe_2018_2020_005dg.netcdf,GB,9.0,2470.6,0,0,1,0,0,1,48.695734277383536
773,773,STA_NO0121A,STA_NO0121A/S2B_MSIL2A_20200809T110629_N0214_R137_T32VKM_20200809T140506.npy,STA_NO0121A/l3_mean_europe_2018_2020_005dg.netcdf,NO,35.0,35.4,0,1,0,0,0,1,26.599296677222856
774,774,STA-FR23078,STA-FR23078/S2B_MSIL2A_20200806T105619_N0214_R094_T30TXT_20200806T131026.npy,STA-FR23078/l3_mean_europe_2018_2020_005dg.netcdf,FR,100.0,113.5,0,0,1,1,0,0,9.927344733217774
775,775,STA-FR82001,STA-FR82001/S2B_MSIL2A_20200807T102559_N0214_R108_T31TGN_20200807T132026.npy,STA-FR82001/l3_mean_europe_2018_2020_005dg.netcdf,FR,243.0,103.0,0,0,1,0,0,1,24.219047615312647
776,776,STA-PT03072,STA-PT03072/S2A_MSIL2A_20200830T113321_N0214_R080_T29SMC_20200830T142737.npy,STA-PT03072/l3_mean_europe_2018_2020_005dg.netcdf,PT,86.0,1010.7,0,0,1,0,0,1,40.540220281840966
777,777,STA_ES1349A,STA_ES1349A/S2A_MSIL2A_20200725T110631_N0214_R137_T30TWN_20200725T120536.npy,STA_ES1349A/l3_mean_europe_2018_2020_005dg.netcdf,ES,122.0,108.5,0,1,0,0,0,1,20.64261370313785
778,778,STA-LU0109A,STA-LU0109A/S2A_MSIL2A_20200805T104031_N0214_R008_T31UGR_20200805T121101.npy,STA-LU0109A/l3_mean_europe_2018_2020_005dg.netcdf,LU,303.0,235.1,0,0,1,0,0,1,31.45072132348521
779,779,STA.IT2007A,STA.IT2007A/S2A_MSIL2A_20190914T102021_N0213_R065_T32TNR_20190914T140933.npy,STA.IT2007A/l3_mean_europe_2018_2020_005dg.netcdf,IT,323.0,514.8,0,0,1,1,0,0,22.19378160040684
780,780,STA-FR21001,STA-FR21001/S2A_MSIL2A_20200602T105631_N0214_R094_T30UXV_20200602T135525.npy,STA-FR21001/l3_mean_europe_2018_2020_005dg.netcdf,FR,56.0,123.7,0,0,1,1,0,0,15.021742715605471
781,781,STA-RO0180A,STA-RO0180A/S2B_MSIL2A_20200823T090559_N0214_R050_T35TMK_20200823T110634.npy,STA-RO0180A/l3_mean_europe_2018_2020_005dg.netcdf,RO,160.0,154.2,0,0,1,0,1,0,20.531187549758112
782,782,STA_ES1859A,STA_ES1859A/S2B_MSIL2A_20200620T110619_N0214_R137_T30TUK_20200620T131935.npy,STA_ES1859A/l3_mean_europe_2018_2020_005dg.netcdf,ES,369.0,45.1,0,1,0,1,0,0,15.711722209275225
783,783,STA.IT1836A,STA.IT1836A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT1836A/l3_mean_europe_2018_2020_005dg.netcdf,IT,31.0,823.7,0,0,1,1,0,0,42.58892412783606
784,784,STA.IT1105A,STA.IT1105A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT1105A/l3_mean_europe_2018_2020_005dg.netcdf,IT,55.0,131.5,0,0,1,0,0,1,36.89019804462272
785,785,STA-BETN085,STA-BETN085/S2A_MSIL2A_20200805T104031_N0214_R008_T31UGR_20200805T121101.npy,STA-BETN085/l3_mean_europe_2018_2020_005dg.netcdf,BE,490.0,46.8,1,0,0,1,0,0,6.704001429081815
786,786,Station_GB1044A,Station_GB1044A/S2A_MSIL2A_20200425T114351_N0214_R123_T30VVH_20200425T125213.npy,Station_GB1044A/l3_mean_europe_2018_2020_005dg.netcdf,GB,35.0,3573.0,0,0,1,0,0,1,30.699836659104573
787,787,Station_GB0031R,Station_GB0031R/S2B_MSIL2A_20200921T112119_N0214_R037_T30UVD_20200921T132441.npy,Station_GB0031R/l3_mean_europe_2018_2020_005dg.netcdf,GB,370.0,25.5,1,0,0,1,0,0,5.922732252758986
788,788,STA.IT2160A,STA.IT2160A/S2A_MSIL2A_20201221T100431_N0214_R122_T33TUG_20201221T115632.npy,STA.IT2160A/l3_mean_europe_2018_2020_005dg.netcdf,IT,794.0,59.6,1,0,0,1,0,0,1.7537671232876713
789,789,STA.DE_DENW116,STA.DE_DENW116/S2A_MSIL2A_20200805T104031_N0214_R008_T32ULB_20200805T121101.npy,STA.DE_DENW116/l3_mean_europe_2018_2020_005dg.netcdf,DE,34.0,1680.4,0,1,0,0,1,0,31.39351245963058
790,790,STA-RO0092A,STA-RO0092A/S2B_MSIL2A_20200829T093039_N0214_R136_T34TFS_20200829T115846.npy,STA-RO0092A/l3_mean_europe_2018_2020_005dg.netcdf,RO,246.0,52.5,0,0,1,1,0,0,21.54696412256861
791,791,STA-RO0185A,STA-RO0185A/S2B_MSIL2A_20200915T092029_N0214_R093_T34TGR_20200915T112537.npy,STA-RO0185A/l3_mean_europe_2018_2020_005dg.netcdf,RO,415.0,74.1,0,0,1,0,1,0,24.51337193650985
792,792,STA_ES1426A,STA_ES1426A/S2A_MSIL2A_20200910T105631_N0214_R094_T30TVK_20200910T135152.npy,STA_ES1426A/l3_mean_europe_2018_2020_005dg.netcdf,ES,685.0,827.3,0,0,1,0,0,1,38.80838391936777
793,793,Station_GB1055R,Station_GB1055R/S2B_MSIL2A_20200411T110619_N0214_R137_T30UXB_20200411T135204.npy,Station_GB1055R/l3_mean_europe_2018_2020_005dg.netcdf,GB,78.0,215.3,1,0,0,1,0,0,10.348527750507264
794,794,STA.IT0663A,STA.IT0663A/S2B_MSIL2A_20200722T100559_N0214_R022_T32TPR_20200722T141538.npy,STA.IT0663A/l3_mean_europe_2018_2020_005dg.netcdf,IT,190.0,317.2,0,0,1,1,0,0,19.80667162698413
795,795,STA.06.138,STA.06.138/S2B_MSIL2A_20200108T095309_N0213_R079_T33TWN_20200108T111854.npy,STA.06.138/l3_mean_europe_2018_2020_005dg.netcdf,AT,355.0,367.6,0,1,0,1,0,0,21.016722935990916
796,796,STA.DE_DEBB083,STA.DE_DEBB083/S2A_MSIL2A_20200408T101021_N0214_R022_T33UVT_20200408T161405.npy,STA.DE_DEBB083/l3_mean_europe_2018_2020_005dg.netcdf,DE,99.0,70.5,0,1,0,1,0,0,10.883806057163635
797,797,STA.IT0721A,STA.IT0721A/S2A_MSIL2A_20200408T101021_N0214_R022_T32TPQ_20200408T161405.npy,STA.IT0721A/l3_mean_europe_2018_2020_005dg.netcdf,IT,39.0,262.7,0,0,1,0,0,1,41.075
798,798,STA.DE_DEHE018,STA.DE_DEHE018/S2B_MSIL2A_20200807T102559_N0214_R108_T32UMA_20200807T132026.npy,STA.DE_DEHE018/l3_mean_europe_2018_2020_005dg.netcdf,DE,90.0,617.6,0,0,1,1,0,0,28.488508601038827
799,799,STA.IT1856A,STA.IT1856A/S2A_MSIL2A_20201221T100431_N0214_R122_T33TUG_20201221T115632.npy,STA.IT1856A/l3_mean_europe_2018_2020_005dg.netcdf,IT,673.0,59.6,0,0,1,1,0,0,8.65365296803653
800,800,STA.DE_DEBY037,STA.DE_DEBY037/S2B_MSIL2A_20200913T101629_N0214_R065_T32UPU_20200913T131152.npy,STA.DE_DEBY037/l3_mean_europe_2018_2020_005dg.netcdf,DE,521.0,4721.9,0,0,1,0,0,1,47.54987914283623
801,801,Station_GB0934A,Station_GB0934A/S2A_MSIL2A_20200415T114351_N0214_R123_T29UPA_20200415T142447.npy,Station_GB0934A/l3_mean_europe_2018_2020_005dg.netcdf,GB,59.0,130.8,0,0,1,1,0,0,16.556526710184368
802,802,STA-CH0051A,STA-CH0051A/S2B_MSIL2A_20200827T102559_N0214_R108_T31TGM_20200827T135039.npy,STA-CH0051A/l3_mean_europe_2018_2020_005dg.netcdf,CH,427.0,2046.8,1,0,0,1,0,0,10.992097578634583
803,803,STA_ES1911A,STA_ES1911A/S2B_MSIL2A_20200215T105029_N0214_R051_T30SYJ_20200215T141800.npy,STA_ES1911A/l3_mean_europe_2018_2020_005dg.netcdf,ES,320.0,236.0,0,1,0,0,1,0,7.267711171662126
804,804,STA.IT0828A,STA.IT0828A/S2A_MSIL2A_20200813T100031_N0214_R122_T32TQM_20200813T113828.npy,STA.IT0828A/l3_mean_europe_2018_2020_005dg.netcdf,IT,49.0,823.7,0,0,1,0,0,1,56.53539661264775
805,805,STA_PL0544A,STA_PL0544A/S2A_MSIL2A_20200701T095031_N0214_R079_T34UCB_20200701T123557.npy,STA_PL0544A/l3_mean_europe_2018_2020_005dg.netcdf,PL,223.0,98.3,0,0,1,1,0,0,20.153452140948925
806,806,STA-GR0018A,STA-GR0018A/S2A_MSIL2A_20200702T092031_N0214_R093_T34TFL_20200702T114806.npy,STA-GR0018A/l3_mean_europe_2018_2020_005dg.netcdf,GR,27.0,310.9,0,0,1,0,0,1,22.699436703231544
807,807,STA-FR16054,STA-FR16054/S2A_MSIL2A_20200623T103031_N0214_R108_T32ULU_20200623T142851.npy,STA-FR16054/l3_mean_europe_2018_2020_005dg.netcdf,FR,195.0,217.6,0,0,1,1,0,0,26.57757470897471
808,808,STA-PT05011,STA-PT05011/S2B_MSIL2A_20200822T112119_N0214_R037_T29SNB_20200823T151025.npy,STA-PT05011/l3_mean_europe_2018_2020_005dg.netcdf,PT,6.0,89.0,0,0,1,0,0,1,22.157749338720407
809,809,STA-TR100531,STA-TR100531/S2B_MSIL2A_20200731T085559_N0214_R007_T35SND_20200731T120922.npy,STA-TR100531/l3_mean_europe_2018_2020_005dg.netcdf,TR,132.0,85.9,0,0,1,0,0,1,34.923311692565214
810,810,STA.IT1619A,STA.IT1619A/S2B_MSIL2A_20191026T101029_N0213_R022_T32TQS_20191026T133255.npy,STA.IT1619A/l3_mean_europe_2018_2020_005dg.netcdf,IT,263.0,55.9,0,1,0,1,0,0,13.30014164305949
811,811,STA-FR33201,STA-FR33201/S2A_MSIL2A_20200414T103021_N0214_R108_T31TGL_20200414T132613.npy,STA-FR33201/l3_mean_europe_2018_2020_005dg.netcdf,FR,453.0,178.9,0,0,1,1,0,0,22.67535114632443
812,812,STA.DE_DESH056,STA.DE_DESH056/S2A_MSIL2A_20200815T104031_N0214_R008_T32UNF_20200815T115046.npy,STA.DE_DESH056/l3_mean_europe_2018_2020_005dg.netcdf,DE,14.0,97.0,1,0,0,1,0,0,12.73290959836828
813,813,STA-NL00017,STA-NL00017/S2B_MSIL2A_20200326T104639_N0214_R051_T31UFU_20200326T141923.npy,STA-NL00017/l3_mean_europe_2018_2020_005dg.netcdf,NL,4.0,1968.5,0,0,1,0,0,1,33.779643555991214
